model,rmse,mae,r2,section,cv_rmse
Random Forest,2.345369923686031,1.9790510144722742,-0.42862435885576433,base_models,
Gradient Boosting,2.4276148995354254,2.0650877637914986,-0.5305761308393622,base_models,
Dummy mean baseline,2.4320191491851793,1.954794592732421,-0.5361348002019952,base_models,
ElasticNet,2.4320191491851793,1.954794592732421,-0.5361348002019952,base_models,
ElasticNet tuned,2.3602490501677273,1.8821914041476098,-0.44680836382966516,tuned_models,2.682245927606251
Random Forest tuned,2.170423778015148,1.827101635846374,-0.22344492841985164,tuned_models,2.3338793092932684
Gradient Boosting tuned,2.415031286317116,2.054018429254791,-0.5147496830895659,tuned_models,2.41130463226526
