model,holdout_rmse,holdout_mae,holdout_r2,cv_rmse_mean,cv_rmse_sd,cv_mae_mean,cv_mae_sd,cv_r2_mean,cv_r2_sd,best_params
Random Forest tuned,1.9798074811789155,1.6513039829302976,-0.01798474433189501,2.0174430802135124,0.633330938532439,1.7474983838426479,0.6030422501309656,0.009644146234472739,0.5037894740727955,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 250}"
Gradient Boosting tuned,2.2999876148573106,1.9145836625628112,-0.3738722211165262,2.1643490947238635,0.48777782700036276,1.8486434437203123,0.4602344385386192,-0.09485288405265775,0.43985957297525996,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 250}"
ElasticNet tuned,2.3075264561288638,1.974127389316425,-0.38289346901793975,2.3158590683422573,0.5872429173332382,1.9628541865759175,0.539314226250761,-0.26681641254823457,0.5520150263312462,"{'model__alpha': 0.1, 'model__l1_ratio': 0.9}"
Dummy mean baseline,2.4320191491851793,1.954794592732421,-0.5361348002019952,2.7299238411798576,0.45568427282087853,2.2296331188660585,0.3951119312978642,-0.6961719276418253,0.4963478373055831,{}
