removed_family,features_removed,holdout_rmse,rmse_delta
Education and health access,5,2.0613879179796797,0.08158043680076421
Industry composition,13,2.0134578595552557,0.03365037837634022
Annual AQI,15,1.99022779656477,0.010420315385854417
None (full model),0,1.9798074811789155,0.0
Daily AQI exposure,25,1.9759780503817148,-0.0038294307972006614
Socioeconomic scale,9,1.9412346945847265,-0.038572786594188946
Climate,6,1.9368128746495485,-0.04299460652936693
